project_name	publication_year	publication_doi	sample_name	sample_host	archive_project	archive_sample_accession	date_information_present	date_is_radiocarbon	archaeological_historical_date	multiple_dates	reference_location	reference_citation_depth	primary_secondary_reference_citation_doi	direct_dating_individual	direct_dating_element	radiocarbon_lab_code	radiocarbon_lab_sample_id	spectrometry_type	pretreatment_reported	pretreatment_type	sample_material	uncalibrated_date	uncalibrated_uncertainty_plus_minus	delta_13c	carbon_perc	delta_15n	carbon_nitrogen_ratio	calibration_reported	calibration_curve	calibration_software	calibration_software_version	calibration_software_settings	calibration_software_citation_doi	calibrated_range_lower	calibrated_range_upper	calibrated_range_median	calibrated_range_suffix	calibrated_range_confidence_interval	reservoir_offset_mentioned	reservoir_offset_applied	reservoir_offset_type	reservoir_offset_reported	reservoir_offset_reported_sd	reservoir_aquatic_carbon_perc	reservoir_aquatic_carbon_perc_sd
Warinner2014	2014	10.1038/ng.2906	B61	Homo sapiens	PRJNA216965	SRS473742,SRS473743,SRS473744,SRS473745	TRUE	TRUE	1000–750	TRUE	supplement text	1	10.1038/ng.2906	FALSE	FALSE	ETH	30728	AMS	NR	NR	bone	885	40	-20.5	-99999	-99999	-99999	TRUE	NR	CalPal	NR	NR	10.5281/zenodo.7215741	-99999	-99999	1127	CE	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
Warinner2014	2014	10.1038/ng.2906	B61	Homo sapiens	PRJNA216965	SRS473742,SRS473743,SRS473744,SRS473745	TRUE	TRUE	1000–750	TRUE	supplement text	1	10.1038/ng.2906	FALSE	FALSE	ETH	30729	AMS	NR	NR	bone	965	40	-20.5	-99999	-99999	-99999	TRUE	NR	CalPal	NR	NR	10.5281/zenodo.7215741	-99999	-99999	1079	CE	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
Warinner2014	2014	10.1038/ng.2906	G12	Homo sapiens	PRJNA216965	SRS473747,SRS473746,SRS473748,SRS473749,SRS473750	TRUE	TRUE	1000–750	TRUE	supplement text	1	10.1038/ng.2906	FALSE	FALSE	ETH	30730	AMS	NR	NR	bone	870	40	-21.9	-99999	-99999	-99999	TRUE	NR	CalPal	NR	NR	10.5281/zenodo.7215741	-99999	-99999	1138	CE	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
Warinner2014	2014	10.1038/ng.2906	G12	Homo sapiens	PRJNA216965	SRS473747,SRS473746,SRS473748,SRS473749,SRS473750	TRUE	TRUE	1000–750	TRUE	supplement text	1	10.1038/ng.2906	FALSE	FALSE	ETH	30731	AMS	NR	NR	bone	1025	40	-18.3	-99999	-99999	-99999	TRUE	NR	CalPal	NR	NR	10.5281/zenodo.7215741	-99999	-99999	1002	CE	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
Modi2020	2020	10.1007/s12520-019-00983-5	P.O 108-7	Homo sapiens	PRJNA660212	SRS7296485	TRUE	FALSE	1150-650	FALSE	main text	1	10.1007/s12520-019-00983-5	FALSE	FALSE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Modi2020	2020	10.1007/s12520-019-00983-5	P.O Z. US44	Homo sapiens	PRJNA660212	SRS7296487	TRUE	FALSE	1150-650	FALSE	main text	1	10.1007/s12520-019-00983-5	FALSE	FALSE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Modi2020	2020	10.1007/s12520-019-00983-5	P.O 898-11	Homo sapiens	PRJNA660212	SRS7296488	TRUE	FALSE	1150-650	FALSE	main text	1	10.1007/s12520-019-00983-5	FALSE	FALSE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Fotakis2020	2020	10.1098/rstb.2019.0584	SK92	Homo sapiens	PRJEB37995	ERS5113011	TRUE	TRUE	450-350	FALSE	main text	1	10.1098/rstb.2019.0584	TRUE	FALSE	TRa	13412	NR	NR	NR	bone	411	14	-21.02	-99999	-99999	-99999	TRUE	IntCal13	OxCal	4.3.2	NR	10.1111/j.1475-4754.2008.00457.x	1433	1622	1507	cal CE	95.4	TRUE	TRUE	MARINE	-99999	-99999	10.9	-99999
Jackson2024	2024	10.1093/molbev/msae017	KGH2-B	Homo sapiens	PRJEB64128	ERS15977754	TRUE	TRUE	DNE	FALSE	main text	2	https://www.jstor.org/stable/26564119	TRUE	FALSE	OxA	6748	NR	NR	NR	bone	3775	45	-21.1	-99999	-99999	-99999	TRUE	IntCal98	NR	NR	NR	NR	2280	2140	2210	cal BC	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
Jackson2024	2024	10.1093/molbev/msae017	KGH2-F	Homo sapiens	PRJEB64128	ERS15977755	TRUE	TRUE	DNE	FALSE	main text	2	https://www.jstor.org/stable/26564119	TRUE	FALSE	OxA	6748	NR	NR	NR	bone	3775	45	-21.1	-99999	-99999	-99999	TRUE	IntCal98	NR	NR	NR	NR	2280	2140	2210	cal BC	68.2	FALSE	DNE	DNE	NA	NA	NA	NA
